,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-15 to 7-Nov-23,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
02-Apr-19,By,Mandal Date Advocate Group 02,,,Payment,8,,1000.00
02-Apr-19,By,Food,,,Payment,9,,55.00
02-Apr-19,By,Food,,,Payment,10,,10.00
03-Apr-19,By,Home Medicines,,,Payment,11,,740.00
03-Apr-19,By,Food,,,Payment,12,,8.00
03-Apr-19,By,Piyush Vaghasiya,,,Payment,13,,110.00
03-Apr-19,By,Home Medicines,,,Payment,14,,278.00
03-Apr-19,By,Food,,,Payment,15,,50.00
04-Apr-19,To,Piyush Vaghasiya,,,Receipt,8,110.00,
04-Apr-19,By,Food,,,Payment,16,,55.00
04-Apr-19,To,Office Expense,,,Receipt,10,59.00,
04-Apr-19,By,Home Perquisites,,,Payment,19,,60.00
05-Apr-19,To,Upad,,,Receipt,11,3000.00,
05-Apr-19,By,Home Cash Paid,,,Payment,20,,3350.00
05-Apr-19,To,Misc.Income,,,Receipt,12,1.00,
05-Apr-19,By,Food,,,Payment,21,,24.00
05-Apr-19,To,DBS Bank,,,Contra,2,5000.00,
05-Apr-19,By,Home Medicines,,,Payment,22,,100.00
05-Apr-19,By,Cloths,,,Payment,23,,830.00
05-Apr-19,By,Food,,,Payment,24,,40.00
06-Apr-19,By,Home Cash Paid,,,Payment,25,,3000.00
06-Apr-19,By,Food,,,Payment,26,,10.00
06-Apr-19,By,Food,,,Payment,27,,50.00
07-Apr-19,By,Tour & Picnic,,,Payment,28,,758.00
08-Apr-19,By,Food,,,Payment,29,,30.00
08-Apr-19,By,Home Perquisites,,,Payment,30,,100.00
09-Apr-19,By,Home Medicines,,,Payment,31,,165.00
09-Apr-19,By,Tour & Picnic,,,Payment,34,,10.00
09-Apr-19,By,Misc. Expenses,,,Payment,35,,5.00
09-Apr-19,By,Food,,,Payment,36,,40.00
10-Apr-19,By,Food,,,Payment,38,,50.00
10-Apr-19,By,Food,,,Payment,39,,40.00
10-Apr-19,By,Food,,,Payment,40,,110.00
10-Apr-19,To,Upad,,,Receipt,14,8000.00,
10-Apr-19,By,Bicycle,,,Payment,41,,5050.00
12-Apr-19,To,DBS Bank,,,Contra,3,10000.00,
12-Apr-19,To,IDBI Bank,,,Contra,4,10000.00,
12-Apr-19,By,Bhavesh Sabhadiya,,,Payment,42,,20000.00
12-Apr-19,By,Home Cash Paid,,,Payment,43,,500.00
12-Apr-19,By,Misc. Expenses,,,Payment,44,,5.00
12-Apr-19,By,Petrol Expenses,,,Payment,45,,100.00
12-Apr-19,By,Food,,,Payment,46,,120.00
12-Apr-19,By,Misc. Expenses,,,Payment,47,,40.00
12-Apr-19,By,Food,,,Payment,48,,30.00
12-Apr-19,By,Home Perquisites,,,Payment,49,,200.00
12-Apr-19,By,Misc. Expenses,,,Payment,50,,20.00
12-Apr-19,By,Tour & Picnic,,,Payment,51,,80.00
12-Apr-19,By,Tour & Picnic,,,Payment,52,,500.00
15-Apr-19,To,Misc.Income,,,Receipt,17,1500.00,
15-Apr-19,To,Bhavesh Sabhadiya,,,Receipt,18,20000.00,
15-Apr-19,By,Food,,,Payment,55,,20.00
15-Apr-19,By,Misc. Expenses,,,Payment,56,,100.00
17-Apr-19,By,Home Cash Paid,,,Payment,59,,1500.00
17-Apr-19,By,Home Perquisites,,,Payment,60,,270.00
17-Apr-19,By,Home Cash Paid,,,Payment,61,,100.00
17-Apr-19,By,Petrol Expenses,,,Payment,62,,100.00
17-Apr-19,By,Food,,,Payment,63,,15.00
17-Apr-19,To,Check Received Against Upad,,,Receipt,19,9600.00,
17-Apr-19,By,Cash Reserve II,,,Payment,64,,3000.00
17-Apr-19,By,Cash Reserve I,,,Payment,65,,500.00
17-Apr-19,To,Office Expense,,,Receipt,20,1350.00,
18-Apr-19,By,Food,,,Payment,66,,10.00
18-Apr-19,By,DBS Bank,,,Contra,6,,25000.00
18-Apr-19,By,Food,,,Payment,68,,55.00
18-Apr-19,By,Merriage Chandlo Shrimant,,,Payment,69,,251.00
18-Apr-19,By,Home Cash Paid,,,Payment,70,,200.00
18-Apr-19,By,Misc. Expenses,,,Payment,71,,22.00
18-Apr-19,By,Tour & Picnic,,,Payment,72,,12.00
18-Apr-19,By,Petrol Expenses,,,Payment,73,,100.00
19-Apr-19,By,Food,,,Payment,75,,15.00
19-Apr-19,By,Food,,,Payment,77,,50.00
19-Apr-19,By,Bicycle Service,,,Payment,78,,80.00
21-Apr-19,By,Holiday Expenses,,,Payment,81,,270.00
21-Apr-19,By,Petrol Expenses,,,Payment,82,,200.00
21-Apr-19,By,Food,,,Payment,83,,30.00
22-Apr-19,To,Cash Reserve II,,,Journal,8,1000.00,
22-Apr-19,By,Food,,,Payment,85,,50.00
23-Apr-19,By,Office Income,,,Payment,86,,1200.00
23-Apr-19,By,Food,,,Payment,87,,30.00
23-Apr-19,To,Office Expense,,,Receipt,23,350.00,
23-Apr-19,By,Food,,,Payment,89,,25.00
23-Apr-19,By,Food,,,Payment,90,,30.00
23-Apr-19,By,Home Perquisites,,,Payment,91,,70.00
24-Apr-19,To,Office Expense,,,Receipt,24,1760.00,
24-Apr-19,By,Food,,,Payment,93,,30.00
24-Apr-19,By,Food,,,Payment,94,,30.00
24-Apr-19,By,Food,,,Payment,95,,20.00
24-Apr-19,By,Misc. Expenses,,,Payment,96,,20.00
24-Apr-19,By,Misc. Expenses,,,Payment,97,,30.00
25-Apr-19,By,Home Cash Paid,,,Payment,98,,2000.00
25-Apr-19,By,Misc. Expenses,,,Payment,99,,60.00
25-Apr-19,By,Boot Polish,,,Payment,100,,20.00
25-Apr-19,By,Food,,,Payment,101,,15.00
25-Apr-19,To,Cash Reserve II,,,Journal,10,1000.00,
25-Apr-19,By,Bicycle Service,,,Payment,102,,400.00
25-Apr-19,By,Petrol Expenses,,,Payment,103,,100.00
26-Apr-19,By,Food,,,Payment,104,,50.00
26-Apr-19,By,Merriage Chandlo Shrimant,,,Payment,105,,450.00
27-Apr-19,By,Home Perquisites,,,Payment,106,,140.00
27-Apr-19,To,Cash Reserve I,,,Journal,13,500.00,
27-Apr-19,By,Food,,,Payment,107,,40.00
27-Apr-19,By,Food,,,Payment,108,,18.00
27-Apr-19,By,Misc. Expenses,,,Payment,109,,12.00
29-Apr-19,By,Home Perquisites,,,Payment,112,,400.00
29-Apr-19,By,Food,,,Payment,113,,20.00
29-Apr-19,By,Food,,,Payment,114,,10.00
29-Apr-19,To,Cash Reserve I,,,Journal,15,500.00,
30-Apr-19,By,Food,,,Payment,115,,15.00
30-Apr-19,By,Food,,,Payment,116,,70.00
01-May-19,By,Home Cash Paid,,,Payment,117,,400.00
01-May-19,By,Party With Friends,,,Payment,118,,40.00
01-May-19,To,DBS Bank,,,Contra,7,7000.00,
01-May-19,By,Mandal Date Advocate Group 02,,,Payment,120,,1000.00
01-May-19,By,Sister,,,Payment,121,,5000.00
01-May-19,By,Food,,,Payment,122,,20.00
01-May-19,By,Donation,,,Payment,123,,15.00
01-May-19,By,Home Cash Paid,,,Payment,124,,10.00
02-May-19,By,Interest,,,Payment,125,,500.00
02-May-19,By,Home Perquisites,,,Payment,126,,120.00
02-May-19,By,Food,,,Payment,127,,50.00
02-May-19,By,Home Perquisites,,,Payment,128,,80.00
02-May-19,By,Party With Friends,,,Payment,129,,100.00
03-May-19,By,Party With Friends,,,Payment,130,,240.00
03-May-19,To,Ankit Sorathiya,,,Receipt,27,600.00,
03-May-19,By,Movie,,,Payment,132,,10.00
03-May-19,By,Misc. Expenses,,,Payment,133,,20.00
04-May-19,By,Food,,,Payment,134,,30.00
04-May-19,By,Home Perquisites,,,Payment,135,,100.00
04-May-19,By,Tour & Picnic,,,Payment,136,,30.00
05-May-19,By,Home Perquisites,,,Payment,137,,120.00
05-May-19,By,Food,,,Payment,138,,65.00
05-May-19,By,Food,,,Payment,139,,40.00
05-May-19,To,DBS Bank,,,Contra,9,1000.00,
05-May-19,By,Home Perquisites,,,Payment,141,,190.00
06-May-19,By,Cloths,,,Payment,142,,940.00
06-May-19,By,Food,,,Payment,143,,10.00
07-May-19,By,Party With Friends,,,Payment,144,,75.00
07-May-19,To,Mahesana,,,Contra,10,5000.00,
07-May-19,To,Laptop,,,Receipt,31,10000.00,
07-May-19,By,Bicycle,,,Payment,145,,10000.00
07-May-19,By,Home Cash Paid,,,Payment,146,,2000.00
07-May-19,By,Food,,,Payment,147,,10.00
07-May-19,By,Tour & Picnic,,,Payment,148,,14.00
07-May-19,By,Party With Friends,,,Payment,149,,100.00
08-May-19,By,Tour & Picnic,,,Payment,150,,10.00
08-May-19,By,Ankit Sorathiya,,,Payment,151,,600.00
08-May-19,By,Food,,,Payment,152,,55.00
08-May-19,By,Donation,,,Payment,153,,5.00
09-May-19,By,Guest Expense,,,Payment,154,,230.00
09-May-19,By,Home Perquisites,,,Payment,155,,150.00
09-May-19,By,Food,,,Payment,156,,10.00
10-May-19,By,Manav Vikas Urban,,,Payment,157,,1200.00
10-May-19,To,Mahesana,,,Contra,11,2000.00,
10-May-19,By,Bike Service,,,Payment,158,,1680.00
10-May-19,By,Food,,,Payment,159,,20.00
10-May-19,By,Mobile Acceseris,,,Payment,160,,100.00
12-May-19,By,Food,,,Payment,162,,55.00
13-May-19,By,Food,,,Payment,164,,40.00
13-May-19,To,Laptop,,,Receipt,34,15000.00,
13-May-19,By,DBS Bank,,,Contra,12,,14000.00
14-May-19,By,Food,,,Payment,167,,10.00
14-May-19,By,Food,,,Payment,168,,20.00
15-May-19,By,Food,,,Payment,170,,55.00
16-May-19,By,Party With Friends,,,Payment,172,,220.00
16-May-19,By,Party With Friends,,,Payment,173,,350.00
16-May-19,By,Home Cash Paid,,,Payment,174,,1000.00
16-May-19,By,Food,,,Payment,175,,57.00
17-May-19,To,DBS Bank,,,Contra,13,7000.00,
17-May-19,By,Home Cash Paid,,,Payment,180,,500.00
18-May-19,By,Holiday Expenses,,,Payment,181,,683.00
18-May-19,By,Home Cash Paid,,,Payment,182,,500.00
19-May-19,By,Home Cash Paid,,,Payment,184,,500.00
19-May-19,By,Office Expense,,,Payment,185,,330.00
19-May-19,By,Food,,,Payment,186,,55.00
20-May-19,By,Party With Friends,,,Payment,187,,100.00
20-May-19,By,Home Cash Paid,,,Payment,188,,1500.00
20-May-19,By,Home Perquisites,,,Payment,189,,2600.00
20-May-19,By,Home Perquisites,,,Payment,190,,95.00
20-May-19,By,Home Perquisites,,,Payment,191,,144.00
21-May-19,By,Misc. Expenses,,,Payment,193,,116.00
21-May-19,By,Home Cash Paid,,,Payment,194,,1000.00
21-May-19,By,Food,,,Payment,195,,50.00
22-May-19,To,Office Expense,,,Receipt,36,830.00,
22-May-19,To,Office Expense,,,Receipt,37,3200.00,
24-May-19,By,Divyam School Exp.,,,Payment,197,,730.00
25-May-19,By,Food,,,Payment,199,,55.00
26-May-19,By,Merriage Chandlo Shrimant,,,Payment,200,,500.00
26-May-19,By,Ankit Sorathiya,,,Payment,201,,750.00
26-May-19,By,Food,,,Payment,202,,55.00
29-May-19,To,DBS Bank,,,Contra,16,2000.00,
29-May-19,By,Darshan Ghanshaymbhai Makwana,,,Payment,206,,150.00
29-May-19,By,Holiday Expenses,,,Payment,208,,410.00
29-May-19,By,Party With Friends,,,Payment,209,,200.00
30-May-19,To,Office,,,Receipt,42,1500.00,
30-May-19,By,Home Perquisites,,,Payment,210,,3800.00
30-May-19,To,DBS Bank,,,Contra,17,2000.00,
30-May-19,By,Office,,,Payment,211,,1500.00
30-May-19,By,Food,,,Payment,212,,50.00
30-May-19,By,Guest Expense,,,Payment,213,,270.00
31-May-19,By,Food,,,Payment,214,,40.00
31-May-19,By,Office Income,,,Payment,216,,4300.00
01-Jun-19,By,Mandal Date Advocate Group 02,,,Payment,217,,1000.00
01-Jun-19,To,Upad,,,Receipt,46,5500.00,
01-Jun-19,To,DBS Bank,,,Contra,18,2000.00,
01-Jun-19,To,Ankit Sorathiya,,,Receipt,47,3500.00,
02-Jun-19,By,Cnadresh Vekariya,,,Payment,219,,3000.00
02-Jun-19,To,Ankit Sorathiya,,,Receipt,50,500.00,
02-Jun-19,By,Guest Expense,,,Payment,220,,100.00
03-Jun-19,By,Bicycle Service,,,Payment,221,,30.00
03-Jun-19,By,Home Cash Paid,,,Payment,222,,500.00
03-Jun-19,By,Food,,,Payment,223,,70.00
03-Jun-19,By,Home Medicines,,,Payment,224,,205.00
04-Jun-19,By,Home Cash Paid,,,Payment,226,,1500.00
04-Jun-19,By,Party With Friends,,,Payment,227,,110.00
04-Jun-19,By,Movie,,,Payment,228,,166.00
04-Jun-19,By,Documentation Exp.,,,Payment,229,,270.00
04-Jun-19,By,Food,,,Payment,230,,30.00
04-Jun-19,To,Upad,,,Receipt,51,10000.00,
05-Jun-19,By,Office Expense,,,Payment,231,,2000.00
05-Jun-19,By,Home Cash Paid,,,Payment,232,,2020.00
06-Jun-19,By,Food,,,Payment,234,,60.00
08-Jun-19,By,Home Cash Paid,,,Payment,236,,1100.00
08-Jun-19,By,Home Cash Paid,,,Payment,237,,200.00
08-Jun-19,To,Office Expense,,,Receipt,54,2000.00,
08-Jun-19,By,Home Perquisites,,,Payment,238,,360.00
08-Jun-19,By,Food,,,Payment,239,,45.00
09-Jun-19,By,Home Light Bill,,,Payment,240,,300.00
10-Jun-19,By,Holiday Expenses,,,Payment,241,,400.00
10-Jun-19,By,Food,,,Payment,242,,50.00
10-Jun-19,By,Hair Cut,,,Payment,243,,100.00
10-Jun-19,By,Home Cash Paid,,,Payment,245,,300.00
11-Jun-19,By,Divyam School Exp.,,,Payment,246,,80.00
11-Jun-19,By,Party With Friends,,,Payment,247,,30.00
11-Jun-19,By,Food,,,Payment,248,,70.00
12-Jun-19,To,Upad,,,Receipt,55,4500.00,
12-Jun-19,By,Cloths,,,Payment,250,,700.00
12-Jun-19,By,Food,,,Payment,251,,20.00
12-Jun-19,By,Party With Friends,,,Payment,252,,750.00
13-Jun-19,By,Divyam School Exp.,,,Payment,253,,20.00
13-Jun-19,By,Bike Service,,,Payment,254,,50.00
14-Jun-19,To,Rojmel,,,Receipt,56,40.00,
14-Jun-19,By,Food,,,Payment,256,,55.00
14-Jun-19,By,Misc. Expenses,,,Payment,257,,85.00
14-Jun-19,By,Piyush Vaghasiya,,,Payment,258,,2000.00
14-Jun-19,By,Rojmel,,,Payment,259,,40.00
17-Jun-19,By,Food,,,Payment,262,,100.00
17-Jun-19,By,Home Perquisites,,,Payment,264,,40.00
17-Jun-19,By,Food,,,Payment,265,,15.00
18-Jun-19,By,Home Cash Paid,,,Payment,267,,500.00
18-Jun-19,By,Divyam School Exp.,,,Payment,268,,400.00
18-Jun-19,By,Donation,,,Payment,269,,15.00
18-Jun-19,By,Bike Service,,,Payment,273,,50.00
18-Jun-19,By,Food,,,Payment,274,,50.00
18-Jun-19,By,Misc. Expenses,,,Payment,275,,60.00
19-Jun-19,By,Alpesh Vithani,,,Payment,276,,1000.00
19-Jun-19,To,Upad,,,Receipt,60,3000.00,
19-Jun-19,By,Party With Friends,,,Payment,277,,360.00
20-Jun-19,By,Party With Friends,,,Payment,278,,110.00
21-Jun-19,By,Party With Friends,,,Payment,280,,80.00
22-Jun-19,By,Chirag,,,Payment,281,,2500.00
22-Jun-19,By,Home Cash Paid,,,Payment,282,,500.00
23-Jun-19,By,Home Cash Paid,,,Payment,284,,100.00
24-Jun-19,By,Movie,,,Payment,286,,104.00
24-Jun-19,By,Food,,,Payment,287,,66.00
25-Jun-19,By,Home Perquisites,,,Payment,288,,40.00
25-Jun-19,By,Sprey and Attar,,,Payment,289,,60.00
25-Jun-19,By,Misc. Lons and Advances,,,Payment,290,,180.00
26-Jun-19,By,Misc. Expenses,,,Payment,291,,160.00
26-Jun-19,By,Office Income,,,Payment,292,,1000.00
27-Jun-19,By,Food,,,Payment,293,,50.00
27-Jun-19,By,Food,,,Payment,294,,10.00
27-Jun-19,By,Home Medicines,,,Payment,295,,180.00
27-Jun-19,By,Party With Friends,,,Payment,296,,40.00
28-Jun-19,To,Misc. Lons and Advances,,,Receipt,65,180.00,
28-Jun-19,To,Upad,,,Receipt,66,6500.00,
29-Jun-19,By,Food,,,Payment,301,,90.00
29-Jun-19,By,Misc. Expenses,,,Payment,302,,20.00
30-Jun-19,By,Home Cash Paid,,,Payment,304,,1000.00
30-Jun-19,By,Petrol Expenses,,,Payment,305,,100.00
01-Jul-19,By,Mandal for Fun,,,Payment,307,,2830.00
01-Jul-19,To,Mandal for Fun,,,Journal,22,1000.00,
01-Jul-19,To,Mandal for Fun,,,Journal,23,1000.00,
01-Jul-19,By,Piyush Vaghasiya,,,Payment,309,,1000.00
01-Jul-19,By,Holiday Expenses,,,Payment,310,,1000.00
01-Jul-19,By,Mandal Date Advocate Group 02,,,Payment,311,,1000.00
01-Jul-19,By,Food,,,Payment,316,,30.00
01-Jul-19,By,Home Perquisites,,,Payment,317,,50.00
02-Jul-19,By,Food,,,Payment,318,,40.00
02-Jul-19,By,Food,,,Payment,319,,90.00
02-Jul-19,By,Divyam School Exp.,,,Payment,320,,5.00
03-Jul-19,By,Home Cash Paid,,,Payment,322,,1500.00
03-Jul-19,By,Home Medicines,,,Payment,323,,130.00
03-Jul-19,By,Party With Friends,,,Payment,324,,90.00
04-Jul-19,By,Home Perquisites,,,Payment,325,,140.00
04-Jul-19,By,Bicycle Service,,,Payment,326,,5.00
05-Jul-19,To,DBS Bank,,,Contra,20,3000.00,
05-Jul-19,To,DBS Bank,,,Contra,21,2000.00,
06-Jul-19,By,Office Income,,,Payment,330,,3000.00
07-Jul-19,By,Home Medicines,,,Payment,331,,216.00
08-Jul-19,By,Home Cash Paid,,,Payment,332,,100.00
08-Jul-19,By,Party With Friends,,,Payment,333,,100.00
09-Jul-19,By,Food,,,Payment,335,,50.00
09-Jul-19,By,Party With Friends,,,Payment,336,,100.00
09-Jul-19,By,Misc. Expenses,,,Payment,337,,114.00
10-Jul-19,By,Home Perquisites,,,Payment,338,,160.00
10-Jul-19,By,Food,,,Payment,339,,80.00
11-Jul-19,By,Food,,,Payment,340,,120.00
12-Jul-19,To,Upad,,,Receipt,74,10000.00,
12-Jul-19,By,Food,,,Payment,341,,40.00
13-Jul-19,By,Home Medicines,,,Payment,342,,228.00
13-Jul-19,By,Divyam Toys,,,Payment,343,,190.00
15-Jul-19,By,Home Perquisites,,,Payment,344,,220.00
15-Jul-19,By,Home Cash Paid,,,Payment,345,,200.00
15-Jul-19,By,Ankit Sorathiya,,,Payment,346,,300.00
15-Jul-19,By,Food,,,Payment,347,,50.00
15-Jul-19,By,Food,,,Payment,348,,40.00
15-Jul-19,By,Chirag,,,Payment,350,,2500.00
17-Jul-19,By,Food,,,Payment,354,,20.00
17-Jul-19,By,Guest Expense,,,Payment,355,,240.00
17-Jul-19,To,Ankit Sorathiya,,,Receipt,77,300.00,
17-Jul-19,By,Party With Friends,,,Payment,356,,40.00
18-Jul-19,By,Home Cash Paid,,,Payment,359,,200.00
18-Jul-19,By,Misc. Expenses,,,Payment,360,,72.00
19-Jul-19,By,Home Perquisites,,,Payment,361,,580.00
19-Jul-19,By,Home Cash Paid,,,Payment,362,,1000.00
19-Jul-19,By,Food,,,Payment,363,,25.00
19-Jul-19,By,Home Perquisites,,,Payment,364,,50.00
19-Jul-19,To,Office Expense,,,Receipt,78,900.00,
19-Jul-19,By,Food,,,Payment,366,,50.00
20-Jul-19,By,Party With Friends,,,Payment,367,,80.00
21-Jul-19,By,Food,,,Payment,368,,50.00
21-Jul-19,By,Misc. Expenses,,,Payment,369,,50.00
23-Jul-19,By,Ankit Sorathiya,,,Payment,370,,1000.00
23-Jul-19,By,Food,,,Payment,371,,50.00
24-Jul-19,By,Home Cash Paid,,,Payment,372,,200.00
25-Jul-19,By,Party With Friends,,,Payment,373,,135.00
26-Jul-19,By,Holiday Expenses,,,Payment,375,,730.00
27-Jul-19,By,Home Cash Paid,,,Payment,376,,650.00
28-Jul-19,By,Food,,,Payment,378,,100.00
28-Jul-19,To,Upad,,,Receipt,81,9000.00,
30-Jul-19,By,Home Perquisites,,,Payment,380,,100.00
30-Jul-19,By,Divyam Toys,,,Payment,381,,50.00
31-Jul-19,By,Home Cash Paid,,,Payment,382,,6000.00
31-Jul-19,By,Chirag Advances,,,Payment,383,,1000.00
31-Jul-19,By,Food,,,Payment,384,,65.00
31-Jul-19,By,Misc. Expenses,,,Payment,385,,100.00
01-Aug-19,By,Office Income,,,Payment,387,,1000.00
01-Aug-19,By,Divyam School Exp.,,,Payment,388,,110.00
02-Aug-19,By,Home Cash Paid,,,Payment,392,,100.00
02-Aug-19,By,Mandal Date Advocate Group 02,,,Payment,393,,1000.00
02-Aug-19,To,Office Expense,,,Receipt,84,875.00,
02-Aug-19,To,Misc.Income,,,Receipt,85,1000.00,
02-Aug-19,By,Home Perquisites,,,Payment,395,,200.00
03-Aug-19,By,Home Cash Paid,,,Payment,396,,90.00
04-Aug-19,By,Food,,,Payment,397,,90.00
06-Aug-19,To,Upad,,,Receipt,91,12000.00,
07-Aug-19,By,Home Cash Paid,,,Payment,400,,220.00
07-Aug-19,By,Food,,,Payment,401,,50.00
08-Aug-19,By,Food,,,Payment,403,,85.00
09-Aug-19,By,Food,,,Payment,404,,40.00
09-Aug-19,By,Office Expense,,,Payment,405,,225.00
09-Aug-19,By,Home Perquisites,,,Payment,406,,490.00
09-Aug-19,By,Food,,,Payment,407,,50.00
10-Aug-19,By,DBS Bank,,,Contra,22,,12000.00
10-Aug-19,To,Office Expense,,,Receipt,92,225.00,
10-Aug-19,By,Food,,,Payment,408,,25.00
10-Aug-19,By,Misc. Expenses,,,Payment,409,,10.00
10-Aug-19,By,Home Cash Paid,,,Payment,410,,700.00
11-Aug-19,By,Home Cash Paid,,,Payment,412,,1100.00
11-Aug-19,By,Party With Friends,,,Payment,413,,440.00
11-Aug-19,To,Misc. Lons and Advances,,,Receipt,93,399.00,
11-Aug-19,By,Merriage Chandlo Shrimant,,,Payment,415,,200.00
11-Aug-19,By,Food,,,Payment,416,,20.00
11-Aug-19,To,Misc.Income,,,Receipt,94,1.00,
12-Aug-19,By,Misc. Expenses,,,Payment,417,,30.00
12-Aug-19,By,Divyam School Exp.,,,Payment,418,,150.00
12-Aug-19,By,Food,,,Payment,419,,20.00
13-Aug-19,By,Food,,,Payment,420,,30.00
13-Aug-19,By,Party With Friends,,,Payment,421,,100.00
14-Aug-19,By,Food,,,Payment,422,,50.00
14-Aug-19,To,Upad,,,Receipt,97,6500.00,
14-Aug-19,By,Hair Cut,,,Payment,423,,100.00
15-Aug-19,By,Food,,,Payment,425,,20.00
15-Aug-19,By,Holiday Expenses,,,Payment,426,,280.00
16-Aug-19,By,Home Cash Paid,,,Payment,427,,500.00
17-Aug-19,By,Bike Service,,,Payment,429,,300.00
17-Aug-19,By,Food,,,Payment,430,,40.00
18-Aug-19,By,Office Income,,,Payment,432,,1000.00
18-Aug-19,By,Holiday Expenses,,,Payment,433,,150.00
20-Aug-19,By,Home Perquisites,,,Payment,435,,240.00
20-Aug-19,By,Food,,,Payment,436,,40.00
21-Aug-19,By,Home Cash Paid,,,Payment,437,,5010.00
21-Aug-19,By,Misc. Expenses,,,Payment,440,,100.00
22-Aug-19,By,Party With Friends,,,Payment,442,,70.00
22-Aug-19,To,Upad,,,Receipt,100,10000.00,
22-Aug-19,To,Office Expense,,,Receipt,101,260.00,
22-Aug-19,By,Mobile,,,Payment,443,,1300.00
22-Aug-19,By,Home Perquisites,,,Payment,444,,50.00
23-Aug-19,By,Food,,,Payment,447,,30.00
23-Aug-19,By,Food,,,Payment,448,,70.00
23-Aug-19,By,Party With Friends,,,Payment,449,,60.00
24-Aug-19,By,Home Cash Paid,,,Payment,452,,1300.00
24-Aug-19,By,Petrol Expenses,,,Payment,453,,400.00
24-Aug-19,By,Food,,,Payment,454,,50.00
26-Aug-19,By,Home Cash Paid,,,Payment,455,,500.00
26-Aug-19,By,Holiday Expenses,,,Payment,456,,360.00
27-Aug-19,By,Food,,,Payment,457,,200.00
27-Aug-19,To,Misc. Lons and Advances,,,Receipt,104,394.00,
28-Aug-19,By,Ankit Sorathiya,,,Payment,459,,500.00
28-Aug-19,By,Food,,,Payment,460,,60.00
28-Aug-19,By,Food,,,Payment,461,,40.00
28-Aug-19,By,Food,,,Payment,462,,15.00
28-Aug-19,By,Misc. Expenses,,,Payment,463,,40.00
28-Aug-19,To,Misc.Income,,,Receipt,106,1.00,
30-Aug-19,By,Home Cash Paid,,,Payment,464,,500.00
30-Aug-19,By,Party With Friends,,,Payment,465,,120.00
30-Aug-19,By,Misc. Expenses,,,Payment,466,,40.00
30-Aug-19,To,Upad,,,Receipt,108,7100.00,
31-Aug-19,By,Mahesana,,,Contra,24,,5000.00
